n1,n2,p,density,crossings_original,crossings_barycenter,crossings_median,crossings_sifting
30,30,0.1,0.10555555555555556,2203,1275,1316,1267
30,30,0.2,0.22333333333333333,8892,7084,7178,7070
30,30,0.3,0.30333333333333334,17292,14281,14486,14217
30,30,0.4,0.38666666666666666,27710,24388,24974,24343
