n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
10,5,10,5.0,50,0.1,0.09999999999999999,4.0,1.0,1.0,1.0,1.0
10,5,10,10.0,50,0.2,0.19999999999999998,21.0,7.5,7.7,7.5,7.5
10,5,10,15.0,50,0.3,0.29999999999999993,41.1,23.2,23.1,22.9,22.9
10,5,10,20.0,50,0.4,0.39999999999999997,69.0,48.4,48.5,48.2,48.2
10,5,10,25.0,50,0.5,0.5,115.8,88.0,89.5,87.6,87.5
10,5,10,30.0,50,0.6,0.5999999999999999,167.1,118.1,118.1,117.6,117.6
10,5,10,35.0,50,0.7,0.7000000000000001,219.9,188.4,190.9,188.0,188.0
10,5,10,40.0,50,0.8,0.7999999999999999,278.0,247.5,250.5,247.5,247.5
10,5,10,45.0,50,0.9,0.9000000000000001,369.9,331.9,333.9,331.9,331.9
