n1,n2,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
6,6,0.3333333333333332,26.4,13.55,13.5,13.5,13.45
8,8,0.25,49.85,23.25,23.4,23.05,23.05
