n1,n2,density,pred_density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
5,5,0.2,0.1,4.0,0.0,0.0,0.0,0
5,5,0.2,0.2,4.0,0.0,0.0,0.0,0
5,5,0.32,0.3,11.0,6.0,6.0,6.0,0
5,5,0.4,0.4,9.0,6.0,6.0,6.0,0
5,5,0.52,0.5,20.0,19.0,19.0,19.0,0
5,5,0.6,0.6,40.0,27.0,30.0,27.0,0
5,5,0.72,0.7,52.0,42.0,42.0,42.0,0
5,5,0.8,0.8,58.0,50.0,52.0,50.0,0
5,5,0.92,0.9,79.0,75.0,75.0,75.0,0
