n1,n2,num_samples,density,pred_density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
10,10,1,0.1,0.1,14.0,0.0,0.0,0.0,0.0
10,10,1,0.2,0.2,81.0,40.0,38.0,40.0,38.0
10,10,1,0.3,0.3,171.0,105.0,111.0,105.0,105.0
10,10,1,0.4,0.4,322.0,245.0,246.0,243.0,243.0
10,10,1,0.5,0.5,536.0,386.0,390.0,383.0,383.0
10,10,1,0.6,0.6,677.0,564.0,569.0,564.0,564.0
10,10,1,0.7,0.7,1012.0,839.0,850.0,840.0,839.0
10,10,1,0.8,0.8,1280.0,1066.0,1072.0,1065.0,1065.0
10,10,1,0.9,0.9,1600.0,1507.0,1517.0,1507.0,1507.0
