n1,n2,p,density,crossings_original,crossings_barycenter,crossings_median,crossings_sifting
30,30,0.1,0.0519774011299435,2024,1219,1210,1200
30,30,0.2,0.10847457627118644,9045,6115,6279,6081
30,30,0.3,0.15028248587570622,16111,13273,13437,13240
30,30,0.4,0.20395480225988702,30192,26078,26533,26074
30,30,0.5,0.2519774011299435,44914,41565,41867,41559
30,30,0.6,0.307909604519774,69443,63071,63794,63123
