n1,n2,density,pred_density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
10,10,0.10000000000000005,0.1,23.7,0.0,0.0,0.06666666666666667,0
10,10,0.2000000000000001,0.2,81.0,37.9,38.0,37.46666666666667,0
10,10,0.3,0.3,185.26666666666668,116.43333333333334,118.03333333333333,114.86666666666666,0
10,10,0.4000000000000002,0.4,318.2,228.86666666666667,234.36666666666667,227.5,0
10,10,0.5,0.5,517.9666666666667,381.26666666666665,388.03333333333336,380.5,0
10,10,0.6,0.6,726.6666666666666,589.3,601.1,588.6333333333333,0
10,10,0.6999999999999996,0.7,988.9333333333333,839.3333333333334,852.0666666666667,839.2333333333333,0
10,10,0.8000000000000004,0.8,1286.4,1149.4,1165.0333333333333,1149.4,0
10,10,0.8999999999999996,0.9,1631.4666666666667,1510.0666666666666,1518.4666666666667,1510.0666666666666,0
