n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
10,10,10,10.0,100,0.1,0.09999999999999999,17.6,5.6,5.5,5.6,5.5
10,10,10,20.0,100,0.2,0.19999999999999998,71.5,39.7,39.2,38.7,38.6
10,10,10,30.0,100,0.3,0.29999999999999993,164.5,106.4,107.5,105.8,105.6
10,10,10,40.0,100,0.4,0.39999999999999997,326.0,232.5,237.0,231.7,231.1
10,10,10,50.0,100,0.5,0.5,502.9,386.8,394.5,386.4,385.7
10,10,10,60.0,100,0.6,0.5999999999999999,711.2,584.8,592.7,583.4,582.9
10,10,10,70.0,100,0.7,0.7000000000000001,953.2,837.3,850.4,836.8,836.4
10,10,10,80.0,100,0.8,0.7999999999999999,1310.0,1136.5,1150.3,1136.5,1136.3
10,10,10,90.0,100,0.9,0.9000000000000001,1617.0,1529.2,1539.7,1528.7,1528.7
