m,avg_crossings_hybrid,avg_crossings_full_bary,avg_crossings_full_permu,percent_hybrid,percent_full_bary,percent_full
4,23.9,26.1,18.7,127.80748663101605,139.57219251336898,100.0
5,49.0,52.65,40.8,120.0980392156863,129.04411764705884,100.0
6,86.95,98.15,74.4,116.86827956989248,131.92204301075267,100.0
7,141.6,141.6,122.1,115.97051597051598,115.97051597051598,100.0
8,207.05,207.05,180.1,114.96390893947807,114.96390893947807,100.0
