hybrid_1_permu_bary,hybrid_2_cutoff_0,hybrid_2_cutoff_1,hybrid_2_cutoff_2,hybrid_2_cutoff_3,hybrid_2_cutoff_4,hybrid_2_cutoff_5,hybrid_2_cutoff_6,hybrid_2_cutoff_7,hybrid_2_cutoff_8,hybrid_2_cutoff_9
64.78873239436619,66.19718309859155,69.01408450704226,66.19718309859155,67.6056338028169,67.6056338028169,71.83098591549296,73.2394366197183,70.4225352112676,78.87323943661971,78.87323943661971
68.91891891891892,51.351351351351354,64.86486486486487,68.91891891891892,67.56756756756756,70.27027027027027,75.67567567567568,81.08108108108108,82.43243243243244,81.08108108108108,81.08108108108108
72.64150943396227,59.43396226415094,71.69811320754717,73.58490566037736,66.98113207547169,78.30188679245283,80.18867924528301,78.30188679245283,82.0754716981132,80.18867924528301,80.18867924528301
69.76744186046511,69.76744186046511,70.93023255813954,73.25581395348837,75.5813953488372,75.5813953488372,68.6046511627907,75.5813953488372,82.55813953488372,80.23255813953489,81.3953488372093
67.10526315789474,50.0,50.0,52.63157894736842,59.21052631578947,60.526315789473685,67.10526315789474,61.8421052631579,65.78947368421052,71.05263157894737,75.0
62.365591397849464,61.29032258064516,65.59139784946237,66.66666666666667,60.215053763440864,73.11827956989248,79.56989247311827,79.56989247311827,81.72043010752688,81.72043010752688,81.72043010752688
70.73170731707317,62.19512195121951,76.82926829268293,70.73170731707317,71.95121951219512,69.51219512195122,80.48780487804878,79.26829268292683,76.82926829268293,79.26829268292683,79.26829268292683
63.91752577319588,60.824742268041234,65.97938144329896,69.0721649484536,70.10309278350516,72.16494845360825,70.10309278350516,73.19587628865979,77.31958762886597,78.35051546391753,70.10309278350516
66.66666666666667,54.166666666666664,58.333333333333336,61.111111111111114,58.333333333333336,58.333333333333336,61.111111111111114,54.166666666666664,61.111111111111114,62.5,62.5
65.65656565656566,53.535353535353536,55.55555555555556,60.60606060606061,65.65656565656566,74.74747474747475,76.76767676767676,77.77777777777777,83.83838383838383,83.83838383838383,83.83838383838383
65.85365853658537,59.75609756097561,57.31707317073171,63.41463414634146,63.41463414634146,63.41463414634146,70.73170731707317,73.17073170731707,75.60975609756098,74.39024390243902,79.26829268292683
71.42857142857143,56.043956043956044,59.34065934065934,69.23076923076923,74.72527472527473,73.62637362637362,69.23076923076923,74.72527472527473,86.81318681318682,87.91208791208791,83.51648351648352
70.58823529411765,58.8235294117647,63.529411764705884,57.64705882352941,63.529411764705884,62.35294117647059,67.05882352941177,61.1764705882353,74.11764705882354,72.94117647058823,78.82352941176471
73.17073170731707,57.31707317073171,63.41463414634146,57.31707317073171,63.41463414634146,62.19512195121951,63.41463414634146,59.75609756097561,70.73170731707317,71.95121951219512,73.17073170731707
59.550561797752806,66.29213483146067,68.53932584269663,66.29213483146067,66.29213483146067,71.91011235955057,69.66292134831461,68.53932584269663,71.91011235955057,73.03370786516854,67.41573033707866
62.6865671641791,61.19402985074627,64.17910447761194,70.14925373134328,73.13432835820896,73.13432835820896,77.61194029850746,73.13432835820896,65.67164179104478,61.19402985074627,64.17910447761194
65.78947368421052,42.10526315789474,44.73684210526316,50.0,42.10526315789474,48.68421052631579,57.89473684210526,64.47368421052632,68.42105263157895,71.05263157894737,71.05263157894737
80.68181818181819,63.63636363636363,65.9090909090909,75.0,72.72727272727273,76.13636363636364,76.13636363636364,73.86363636363636,75.0,71.5909090909091,75.0
70.58823529411765,68.23529411764706,70.58823529411765,72.94117647058823,81.17647058823529,78.82352941176471,85.88235294117646,88.23529411764706,88.23529411764706,88.23529411764706,90.58823529411765
64.04494382022472,70.78651685393258,73.03370786516854,73.03370786516854,73.03370786516854,67.41573033707866,61.79775280898876,66.29213483146067,67.41573033707866,67.41573033707866,73.03370786516854
