density,avg_crossings_original,sifting_reduction,median_reduction,barycenter_reduction
0.0999999999999999,14992.0,30.832,29.123,30.487
0.1999999999999999,59996.2,19.925,18.334,19.823
0.2999999999999999,135061.6,14.37,12.579,14.313
0.3999999999999999,240882.5,11.796,10.413,11.762
0.5,376355.1,9.823,8.626,9.806
0.5999999999999999,541076.8,7.849,6.944,7.85
0.7000000000000001,735540.4,6.045,5.249,6.05
0.7999999999999999,959321.9,4.729,4.144,4.736
0.9000000000000001,1217685.0,3.263,2.898,3.266
