n1,n2,num_samples,density,pred_density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
6,6,10,0.16666666666666669,0.1,8.3,0.0,0.0,0.0,0.0
6,6,10,0.22222222222222227,0.2,12.0,3.7,3.7,3.7,3.7
6,6,10,0.3055555555555555,0.3,21.2,9.3,9.2,9.0,9.0
6,6,10,0.41666666666666663,0.4,36.6,25.4,25.6,25.0,25.0
6,6,10,0.5,0.5,54.9,37.9,39.1,37.6,37.6
6,6,10,0.611111111111111,0.6,89.1,62.5,64.5,62.5,62.5
6,6,10,0.7222222222222222,0.7,116.8,89.1,90.3,89.1,89.1
6,6,10,0.8055555555555556,0.8,146.3,121.1,122.4,121.1,121.1
6,6,10,0.9166666666666666,0.9,186.5,167.6,168.3,167.6,167.6
