sample_id,bary_sift_cutoff_0,sift_bary_cutoff_0,permu_sift_cutoff_0,permu_bary_cutoff_0,bary_permu_cutoff_0,sifting_permu_cutoff_0,bary_sift_cutoff_1,sift_bary_cutoff_1,permu_sift_cutoff_1,permu_bary_cutoff_1,bary_permu_cutoff_1,sifting_permu_cutoff_1,bary_sift_cutoff_2,sift_bary_cutoff_2,permu_sift_cutoff_2,permu_bary_cutoff_2,bary_permu_cutoff_2,sifting_permu_cutoff_2,bary_sift_cutoff_3,sift_bary_cutoff_3,permu_sift_cutoff_3,permu_bary_cutoff_3,bary_permu_cutoff_3,sifting_permu_cutoff_3,bary_sift_cutoff_4,sift_bary_cutoff_4,permu_sift_cutoff_4,permu_bary_cutoff_4,bary_permu_cutoff_4,sifting_permu_cutoff_4,bary_sift_cutoff_5,sift_bary_cutoff_5,permu_sift_cutoff_5,permu_bary_cutoff_5,bary_permu_cutoff_5,sifting_permu_cutoff_5,bary_sift_cutoff_6,sift_bary_cutoff_6,permu_sift_cutoff_6,permu_bary_cutoff_6,bary_permu_cutoff_6,sifting_permu_cutoff_6,bary_sift_cutoff_7,sift_bary_cutoff_7,permu_sift_cutoff_7,permu_bary_cutoff_7,bary_permu_cutoff_7,sifting_permu_cutoff_7,bary_sift_cutoff_8,sift_bary_cutoff_8,permu_sift_cutoff_8,permu_bary_cutoff_8,bary_permu_cutoff_8,sifting_permu_cutoff_8,bary_sift_cutoff_9,sift_bary_cutoff_9,permu_sift_cutoff_9,permu_bary_cutoff_9,bary_permu_cutoff_9,sifting_permu_cutoff_9,crossings_orig
0,13,16,13,16,16,16,14,16,14,16,16,16,13,15,13,15,15,15,16,13,16,16,16,13,18,13,18,16,16,13,18,13,18,18,18,13,18,13,18,18,18,13,16,13,16,16,16,13,16,13,16,16,16,13,16,13,16,16,16,13,30
1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,38
2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,37
3,17,17,17,17,17,17,17,17,17,17,17,17,16,15,16,15,15,15,17,16,17,16,16,16,17,16,17,16,16,16,17,16,17,16,16,16,17,16,17,16,16,16,16,17,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,44
4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,38
5,18,17,18,17,17,17,18,17,18,17,17,17,18,17,18,17,17,17,18,17,18,17,17,17,18,17,18,17,17,17,18,17,18,17,17,17,18,17,18,17,17,17,18,17,18,17,17,17,18,17,18,17,17,17,17,18,17,17,17,18,33
6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,14,13,14,14,14,13,15,13,15,15,15,13,13,13,13,13,13,13,31
7,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,18,18,18,18,18,18,21,21,21,21,21,21,21,21,21,21,21,21,38
8,19,18,19,18,16,16,19,19,19,19,17,17,18,19,18,18,16,17,18,17,18,16,18,17,18,19,16,16,18,19,18,19,16,16,18,19,18,19,16,16,18,19,18,19,16,16,18,19,18,19,16,16,18,19,18,19,16,16,18,19,29
9,19,19,19,19,19,19,15,21,15,19,19,21,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,32
