n1,n2,num_samples,density,pred_density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
8,8,20,0.109375,0.1,8.75,1.9,1.9,1.9,1.9
8,8,20,0.203125,0.2,29.3,13.6,13.6,13.45,13.45
8,8,20,0.3125,0.3,73.55,41.8,42.65,41.5,41.45
8,8,20,0.40625,0.4,126.65,87.25,89.45,86.3,86.3
8,8,20,0.5,0.5,191.7,137.05,139.65,136.9,136.85
8,8,20,0.609375,0.6,288.2,220.95,225.7,220.85,220.85
8,8,20,0.703125,0.7,391.15,318.85,322.9,318.75,318.6
8,8,20,0.8125,0.8,505.0,456.2,462.2,456.2,456.1
8,8,20,0.90625,0.9,639.6,595.55,598.2,595.55,595.55
