n1,n2,num_samples,density,pred_density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
5,5,20,0.12000000000000006,0.1,0.85,0.05,0.05,0.05,0.05
5,5,20,0.20000000000000004,0.2,4.4,0.55,0.55,0.55,0.55
5,5,20,0.32000000000000006,0.3,9.6,4.45,4.55,4.4,4.4
5,5,20,0.4000000000000001,0.4,13.9,6.7,6.8,6.65,6.65
5,5,20,0.5199999999999998,0.5,27.1,14.55,14.75,14.5,14.5
5,5,20,0.5999999999999999,0.6,34.8,23.8,24.15,23.75,23.75
5,5,20,0.7200000000000002,0.7,51.85,38.85,40.05,38.85,38.85
5,5,20,0.8000000000000002,0.8,65.15,52.1,52.85,52.1,52.1
5,5,20,0.9200000000000003,0.9,82.15,76.85,76.85,76.85,76.85
