hybrid_1_permu_bary,hybrid_2_cutoff_0,hybrid_2_cutoff_1,hybrid_2_cutoff_2,hybrid_2_cutoff_3,hybrid_2_cutoff_4,hybrid_2_cutoff_5,hybrid_2_cutoff_6,hybrid_2_cutoff_7,hybrid_2_cutoff_8,hybrid_2_cutoff_9
65.93406593406593,53.84615384615385,56.043956043956044,60.43956043956044,57.142857142857146,65.93406593406593,67.03296703296704,68.13186813186813,69.23076923076923,69.23076923076923,72.52747252747253
75.0,75.0,77.08333333333333,76.04166666666667,77.08333333333333,76.04166666666667,76.04166666666667,77.08333333333333,81.25,78.125,80.20833333333333
60.674157303370784,67.41573033707866,65.1685393258427,67.41573033707866,69.66292134831461,70.78651685393258,71.91011235955057,69.66292134831461,73.03370786516854,70.78651685393258,77.52808988764045
75.49019607843137,79.41176470588235,80.3921568627451,80.3921568627451,85.29411764705883,83.33333333333333,83.33333333333333,81.37254901960785,84.31372549019608,87.25490196078431,87.25490196078431
70.83333333333333,62.5,64.58333333333333,71.875,72.91666666666667,69.79166666666667,70.83333333333333,70.83333333333333,71.875,68.75,81.25
66.23376623376623,54.54545454545455,49.35064935064935,59.74025974025974,62.33766233766234,62.33766233766234,62.33766233766234,61.03896103896104,62.33766233766234,63.63636363636363,70.12987012987013
74.44444444444444,63.333333333333336,64.44444444444444,67.77777777777777,66.66666666666667,73.33333333333333,72.22222222222223,71.11111111111111,75.55555555555556,78.88888888888889,82.22222222222223
65.78947368421052,59.21052631578947,63.1578947368421,64.47368421052632,65.78947368421052,64.47368421052632,68.42105263157895,68.42105263157895,67.10526315789474,68.42105263157895,75.0
63.75,60.0,62.5,58.75,60.0,58.75,76.25,73.75,73.75,75.0,76.25
68.1159420289855,63.768115942028984,65.21739130434783,69.56521739130434,69.56521739130434,63.768115942028984,76.81159420289855,76.81159420289855,78.26086956521739,73.91304347826087,60.869565217391305
71.15384615384616,62.5,72.11538461538461,70.1923076923077,68.26923076923077,66.34615384615384,74.03846153846153,67.3076923076923,70.1923076923077,76.92307692307692,79.8076923076923
69.76744186046511,58.13953488372093,66.27906976744185,66.27906976744185,69.76744186046511,69.76744186046511,68.6046511627907,69.76744186046511,72.09302325581395,74.4186046511628,74.4186046511628
60.75949367088607,58.22784810126582,63.29113924050633,70.88607594936708,68.35443037974683,59.49367088607595,59.49367088607595,56.962025316455694,56.962025316455694,56.962025316455694,74.68354430379746
74.71264367816092,58.62068965517241,68.96551724137932,70.11494252873563,73.5632183908046,79.3103448275862,74.71264367816092,77.01149425287356,81.60919540229885,79.3103448275862,81.60919540229885
60.0,68.75,66.25,67.5,72.5,77.5,80.0,83.75,86.25,86.25,86.25
71.42857142857143,68.83116883116882,76.62337662337663,76.62337662337663,79.22077922077922,67.53246753246754,76.62337662337663,77.92207792207792,81.81818181818181,81.81818181818181,81.81818181818181
71.57894736842105,60.0,66.3157894736842,69.47368421052632,66.3157894736842,67.36842105263158,66.3157894736842,72.63157894736842,74.73684210526316,76.84210526315789,77.89473684210526
57.971014492753625,60.869565217391305,65.21739130434783,65.21739130434783,68.1159420289855,68.1159420289855,69.56521739130434,71.01449275362319,71.01449275362319,71.01449275362319,72.46376811594203
69.23076923076923,52.56410256410256,58.97435897435897,61.53846153846154,64.1025641025641,66.66666666666667,67.94871794871794,62.82051282051282,69.23076923076923,73.07692307692308,74.35897435897436
59.523809523809526,58.333333333333336,58.333333333333336,60.714285714285715,59.523809523809526,59.523809523809526,66.66666666666667,70.23809523809524,71.42857142857143,73.80952380952381,73.80952380952381
