n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
8,4,10,4.0,32,0.1,0.125,1.0,0.7,0.7,0.7,0.7
8,4,10,7.0,32,0.2,0.21875,6.6,3.2,3.2,3.2,3.2
8,4,10,10.0,32,0.3,0.3125,14.7,9.7,10.3,9.6,9.6
8,4,10,13.0,32,0.4,0.40625,28.0,19.5,19.7,19.0,19.0
8,4,10,16.0,32,0.5,0.5,40.4,30.8,31.1,30.5,30.5
8,4,10,20.0,32,0.6,0.625,69.9,50.6,52.4,50.6,50.6
8,4,10,23.0,32,0.7,0.71875,81.0,71.4,72.5,71.3,71.3
8,4,10,26.0,32,0.8,0.8125,106.6,94.5,94.9,94.5,94.5
8,4,10,29.0,32,0.9,0.90625,138.6,124.3,125.1,124.3,124.3
