n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
10,6,10,6.0,60,0.1,0.09999999999999999,6.2,1.4,1.4,1.4,1.4
10,6,10,12.0,60,0.2,0.19999999999999998,27.9,12.6,12.6,12.5,12.5
10,6,10,18.0,60,0.3,0.29999999999999993,64.8,33.5,33.9,33.2,33.2
10,6,10,24.0,60,0.4,0.39999999999999997,102.9,73.7,74.6,73.2,73.2
10,6,10,30.0,60,0.5,0.5,153.7,123.7,124.8,123.6,123.6
10,6,10,36.0,60,0.6,0.5999999999999999,238.6,188.5,193.1,188.3,188.3
10,6,10,42.0,60,0.7,0.7000000000000001,325.7,269.9,272.7,269.8,269.8
10,6,10,48.0,60,0.8,0.7999999999999999,442.0,382.8,389.8,382.5,382.5
10,6,10,54.0,60,0.9,0.9000000000000001,546.7,509.2,513.3,509.2,509.2
