n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
8,7,10,6.0,56,0.1,0.10714285714285712,6.6,1.3,1.3,1.3,1.3
8,7,10,12.0,56,0.2,0.21428571428571425,25.3,9.7,9.9,9.6,9.6
8,7,10,17.0,56,0.3,0.3035714285714285,50.1,29.6,29.7,29.3,29.2
8,7,10,23.0,56,0.4,0.4107142857142857,108.3,62.7,63.5,62.1,62.1
8,7,10,28.0,56,0.5,0.5,138.7,107.2,109.1,107.0,106.8
8,7,10,34.0,56,0.6,0.607142857142857,201.0,164.1,166.0,163.7,163.6
8,7,10,40.0,56,0.7,0.7142857142857143,299.8,237.6,239.3,237.7,237.6
8,7,10,45.0,56,0.8,0.8035714285714286,375.6,328.7,331.7,328.7,328.7
8,7,10,51.0,56,0.9,0.9107142857142858,493.5,445.2,449.0,445.1,445.1
