n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
8,8,10,7.0,64,0.1,0.109375,9.5,1.5,1.5,1.5,1.5
8,8,10,13.0,64,0.2,0.203125,26.6,15.6,15.8,15.4,15.4
8,8,10,20.0,64,0.3,0.3125,66.3,43.4,44.2,43.0,43.0
8,8,10,26.0,64,0.4,0.40625,128.1,87.6,89.7,87.2,87.0
8,8,10,32.0,64,0.5,0.5,192.4,137.1,139.4,136.5,136.5
8,8,10,39.0,64,0.6,0.609375,289.1,224.6,226.9,224.2,224.2
8,8,10,45.0,64,0.7,0.703125,387.4,312.1,317.5,311.9,311.9
8,8,10,52.0,64,0.8,0.8125,506.5,444.6,451.0,444.5,444.4
8,8,10,58.0,64,0.9,0.90625,646.4,592.3,595.0,592.2,592.2
