n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
10,7,10,7.0,70,0.1,0.09999999999999999,10.2,1.8,1.8,1.8,1.8
10,7,10,14.0,70,0.2,0.19999999999999998,38.0,17.1,17.5,17.1,17.1
10,7,10,21.0,70,0.3,0.29999999999999993,84.3,50.7,52.0,50.4,50.4
10,7,10,28.0,70,0.4,0.39999999999999997,155.8,105.6,108.5,105.2,105.2
10,7,10,35.0,70,0.5,0.5,236.9,177.7,181.5,177.4,177.4
10,7,10,42.0,70,0.6,0.5999999999999999,354.9,275.4,283.2,275.1,274.8
10,7,10,49.0,70,0.7,0.7000000000000001,447.2,377.4,384.4,377.5,377.2
10,7,10,56.0,70,0.8,0.7999999999999999,629.8,520.6,527.4,520.7,520.2
10,7,10,63.0,70,0.9,0.9000000000000001,755.9,701.9,704.4,701.8,701.8
