n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal,avg_tot_time_bar,avg_tot_time_med,avg_tot_time_sif,avg_tot_time_opt,avg_tot_time
10,9,20,9.0,90,0.1,0.10000000000000002,14.25,5.1,5.05,5.0,5.0,2.4724006652832032e-05,1.767873764038086e-05,0.0028306722640991213,13.455129444599152,13.458002519607543
10,9,20,18.0,90,0.2,0.20000000000000004,56.05,34.05,34.45,33.45,33.45,2.8371810913085938e-05,2.251863479614258e-05,0.005030226707458496,23.14819731712341,23.15327843427658
10,9,20,27.0,90,0.3,0.29999999999999993,145.55,89.6,91.05,88.75,88.65,3.398656845092774e-05,2.599954605102539e-05,0.007591545581817627,34.28421095609665,34.29186248779297
10,9,20,36.0,90,0.4,0.4000000000000001,248.7,179.25,181.55,177.25,177.1,4.0864944458007814e-05,3.07917594909668e-05,0.010712528228759765,46.71774830818176,46.72853249311447
10,9,20,45.0,90,0.5,0.5,401.6,305.4,310.25,304.85,304.4,3.892183303833008e-05,3.259181976318359e-05,0.013778018951416015,59.85720508098602,59.87105461359024
10,9,20,54.0,90,0.6,0.5999999999999999,587.0,467.1,475.45,466.65,466.4,4.723072052001953e-05,3.668069839477539e-05,0.016835570335388184,73.17790962457657,73.19482910633087
10,9,20,63.0,90,0.7,0.6999999999999997,782.2,667.45,679.0,667.1,666.8,4.298686981201172e-05,3.74913215637207e-05,0.019656896591186523,84.77094064950943,84.79067802429199
10,9,20,72.0,90,0.8,0.8000000000000002,1039.45,915.8,927.2,915.65,915.4,4.442930221557617e-05,4.1091442108154296e-05,0.022412967681884766,95.68290672302246,95.70540521144866
10,9,20,81.0,90,0.9,0.9,1310.45,1205.05,1211.4,1205.25,1205.0,4.5680999755859374e-05,4.1985511779785155e-05,0.02444518804550171,106.26046520471573,106.28499805927277
