n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal,avg_tot_time_bar,avg_tot_time_med,avg_tot_time_sif,avg_tot_time_opt,avg_tot_time
4,3,20,2.0,12,0.1,0.1666666666666666,0.4,0.0,0.0,0.0,0.0,1.207590103149414e-05,8.89301300048828e-06,0.00010588169097900391,6.859302520751953e-05,0.00019544363021850586
4,3,20,3.0,12,0.2,0.25,0.75,0.15,0.15,0.15,0.15,1.2242794036865235e-05,9.381771087646485e-06,0.00011436939239501953,7.541179656982422e-05,0.00021140575408935548
4,3,20,4.0,12,0.3,0.3333333333333332,1.95,0.5,0.5,0.5,0.5,1.2135505676269531e-05,9.5367431640625e-06,0.00011181831359863281,7.00831413269043e-05,0.00020357370376586915
4,3,20,5.0,12,0.4,0.4166666666666668,3.5,1.0,1.0,1.0,1.0,1.2516975402832031e-05,9.047985076904298e-06,0.00012388229370117188,7.948875427246093e-05,0.00022493600845336915
4,3,20,6.0,12,0.5,0.5,4.3,1.95,1.95,1.95,1.95,1.302957534790039e-05,1.1181831359863281e-05,0.00015494823455810546,9.760856628417968e-05,0.0002767682075500488
4,3,20,8.0,12,0.6,0.6666666666666664,7.2,5.15,5.25,5.15,5.15,1.1706352233886719e-05,9.918212890625e-06,0.00015186071395874025,9.616613388061524e-05,0.0002696514129638672
4,3,20,9.0,12,0.7,0.75,9.75,6.8,6.95,6.8,6.8,1.2886524200439452e-05,1.1718273162841797e-05,0.00019037723541259766,0.00012165307998657227,0.0003366351127624512
4,3,20,10.0,12,0.8,0.8333333333333336,13.15,9.2,9.35,9.2,9.2,1.0728836059570312e-05,9.751319885253906e-06,0.00016857385635375975,0.00010842084884643555,0.00029747486114501954
4,3,20,11.0,12,0.9,0.9166666666666666,15.55,13.2,13.2,13.2,13.2,1.3303756713867187e-05,1.2373924255371093e-05,0.0002160191535949707,0.00013735294342041016,0.0003790497779846191
