n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal,avg_tot_time_bar,avg_tot_time_med,avg_tot_time_sif,avg_tot_time_opt,avg_tot_time
6,5,20,3.0,30,0.1,0.10000000000000002,1.2,0.0,0.0,0.0,0.0,1.4221668243408203e-05,1.043081283569336e-05,0.00035474300384521487,0.0017319321632385254,0.0021113276481628416
6,5,20,6.0,30,0.2,0.20000000000000004,5.25,1.65,1.65,1.65,1.65,1.4781951904296875e-05,1.1551380157470704e-05,0.0004498481750488281,0.0022215843200683594,0.002697765827178955
6,5,20,9.0,30,0.3,0.29999999999999993,11.9,5.05,5.05,5.05,5.05,1.5366077423095704e-05,1.302957534790039e-05,0.0005796194076538086,0.0028536438941955565,0.0034616589546203613
6,5,20,12.0,30,0.4,0.4000000000000001,21.8,12.85,13.3,12.85,12.8,1.9168853759765626e-05,1.4889240264892579e-05,0.0007804155349731446,0.003585183620452881,0.004399657249450684
6,5,20,15.0,30,0.5,0.5,34.8,23.3,24.6,23.3,23.3,1.894235610961914e-05,1.6844272613525392e-05,0.000940251350402832,0.004168379306793213,0.0051444172859191895
6,5,20,18.0,30,0.6,0.5999999999999999,51.55,36.75,37.55,36.75,36.7,0.00010944604873657227,1.6379356384277344e-05,0.0010622859001159668,0.004839015007019043,0.006027126312255859
6,5,20,21.0,30,0.7,0.6999999999999997,72.7,58.3,59.4,58.25,58.25,1.8048286437988282e-05,1.6021728515625e-05,0.0011887073516845704,0.005354690551757813,0.0065774679183959964
6,5,20,24.0,30,0.8,0.8000000000000002,98.6,78.65,80.1,78.55,78.55,1.870393753051758e-05,1.658201217651367e-05,0.0013141870498657227,0.005907166004180908,0.007256639003753662
6,5,20,27.0,30,0.9,0.9,120.25,108.65,109.45,108.65,108.65,1.8870830535888673e-05,1.7762184143066406e-05,0.0014557361602783204,0.006452691555023193,0.007945060729980469
