n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal,avg_tot_time_bar,avg_tot_time_med,avg_tot_time_sif,avg_tot_time_opt,avg_tot_time
6,3,20,2.0,18,0.1,0.11111111111111113,0.3,0.0,0.0,0.0,0.0,1.0788440704345703e-05,7.414817810058594e-06,9.93967056274414e-05,6.334781646728515e-05,0.00018094778060913087
6,3,20,4.0,18,0.2,0.22222222222222227,1.65,0.7,0.7,0.7,0.7,1.2171268463134765e-05,8.952617645263671e-06,0.00011601448059082032,7.461309432983398e-05,0.00021175146102905273
6,3,20,6.0,18,0.3,0.3333333333333332,4.1,2.1,2.2,2.1,2.1,1.1837482452392578e-05,1.0263919830322265e-05,0.00013715028762817383,8.934736251831055e-05,0.00024859905242919923
6,3,20,8.0,18,0.4,0.44444444444444453,8.45,5.55,5.75,5.45,5.45,1.3875961303710938e-05,1.0418891906738282e-05,0.00015975236892700194,0.00010249614715576171,0.00028654336929321287
6,3,20,9.0,18,0.5,0.5,9.15,6.45,6.6,6.45,6.45,1.2993812561035156e-05,1.0752677917480469e-05,0.00016900300979614258,0.00010908842086791992,0.0003018379211425781
6,3,20,11.0,18,0.6,0.6111111111111109,15.15,11.4,11.7,11.4,11.4,1.4376640319824218e-05,1.1587142944335938e-05,0.00019379854202270508,0.00012496709823608398,0.00034472942352294924
6,3,20,13.0,18,0.7,0.7222222222222219,23.05,18.3,18.8,18.25,18.25,1.233816146850586e-05,1.0979175567626952e-05,0.00020689964294433593,0.0001287698745727539,0.00035898685455322267
6,3,20,15.0,18,0.8,0.8333333333333336,31.0,26.55,27.1,26.55,26.55,1.3113021850585938e-05,1.1682510375976562e-05,0.00021870136260986327,0.00013638734817504882,0.0003798842430114746
6,3,20,17.0,18,0.9,0.9444444444444443,40.05,37.0,37.0,37.0,37.0,1.25885009765625e-05,1.2886524200439452e-05,0.00024495124816894533,0.00015507936477661134,0.0004255056381225586
