n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal,avg_tot_time_bar,avg_tot_time_med,avg_tot_time_sif,avg_tot_time_opt,avg_tot_time
6,6,20,4.0,36,0.1,0.11111111111111113,2.45,0.35,0.35,0.35,0.35,0.0001148223876953125,1.220703125e-05,0.0006295204162597656,0.01304929256439209,0.013805842399597168
6,6,20,8.0,36,0.2,0.22222222222222227,9.65,3.3,3.2,3.2,3.2,1.7452239990234376e-05,1.596212387084961e-05,0.0008899927139282227,0.017999279499053954,0.01892268657684326
6,6,20,11.0,36,0.3,0.30555555555555547,20.15,9.85,9.95,9.8,9.8,1.8465518951416016e-05,1.4913082122802734e-05,0.0011366963386535644,0.022433161735534668,0.02360323667526245
6,6,20,15.0,36,0.4,0.4166666666666668,38.55,22.9,23.8,22.75,22.75,1.9371509552001953e-05,1.6450881958007812e-05,0.0014814496040344237,0.0286179780960083,0.030135250091552733
6,6,20,18.0,36,0.5,0.5,53.75,32.8,33.3,32.8,32.8,2.033710479736328e-05,1.7523765563964844e-05,0.0017246484756469726,0.03349449634552002,0.03525700569152832
6,6,20,22.0,36,0.6,0.6111111111111109,80.15,63.55,64.7,63.25,63.25,2.160072326660156e-05,1.848936080932617e-05,0.002076256275177002,0.04000145196914673,0.04211779832839966
6,6,20,26.0,36,0.7,0.7222222222222219,116.3,93.7,95.65,93.65,93.65,2.1243095397949217e-05,1.870393753051758e-05,0.002265596389770508,0.04476979970932007,0.04707534313201904
6,6,20,29.0,36,0.8,0.8055555555555556,144.8,119.45,121.45,119.35,119.35,2.1302700042724608e-05,1.8751621246337892e-05,0.002537691593170166,0.04882638454437256,0.051404130458831784
6,6,20,33.0,36,0.9,0.9166666666666666,190.0,174.65,175.1,174.65,174.65,2.2971630096435546e-05,1.9669532775878906e-05,0.0028138995170593263,0.0541082501411438,0.05696479082107544
