hybrid_1_permu_bary,hybrid_1_sift_bary,hybrid_2_cutoff_0,hybrid_2_cutoff_1,hybrid_2_cutoff_2,hybrid_2_cutoff_3,hybrid_2_cutoff_4,hybrid_2_cutoff_5,hybrid_2_cutoff_6,hybrid_2_cutoff_7,hybrid_2_cutoff_8,hybrid_2_cutoff_9
61.224489795918366,71.42857142857143,66.3265306122449,68.36734693877551,63.265306122448976,76.53061224489795,72.44897959183673,72.44897959183673,78.57142857142857,83.6734693877551,84.6938775510204,84.6938775510204
58.97435897435897,62.82051282051282,58.97435897435897,57.69230769230769,48.717948717948715,70.51282051282051,70.51282051282051,73.07692307692308,67.94871794871794,67.94871794871794,69.23076923076923,71.7948717948718
62.33766233766234,62.33766233766234,49.35064935064935,53.246753246753244,49.35064935064935,50.64935064935065,58.44155844155844,59.74025974025974,58.44155844155844,64.93506493506493,70.12987012987013,75.32467532467533
74.71264367816092,71.26436781609195,64.36781609195403,73.5632183908046,73.5632183908046,77.01149425287356,65.51724137931035,73.5632183908046,79.3103448275862,82.75862068965517,73.5632183908046,82.75862068965517
56.25,55.0,47.5,52.5,55.0,55.0,66.25,73.75,61.25,66.25,61.25,66.25
69.0721649484536,74.22680412371135,59.79381443298969,68.04123711340206,71.1340206185567,71.1340206185567,80.41237113402062,81.44329896907216,82.47422680412372,82.47422680412372,84.5360824742268,84.5360824742268
76.38888888888889,76.38888888888889,54.166666666666664,73.61111111111111,72.22222222222223,70.83333333333333,62.5,63.888888888888886,68.05555555555556,72.22222222222223,73.61111111111111,75.0
59.34065934065934,62.637362637362635,47.252747252747255,54.94505494505494,56.043956043956044,60.43956043956044,54.94505494505494,62.637362637362635,67.03296703296704,67.03296703296704,75.82417582417582,71.42857142857143
75.64102564102564,69.23076923076923,57.69230769230769,62.82051282051282,62.82051282051282,64.1025641025641,66.66666666666667,73.07692307692308,73.07692307692308,70.51282051282051,70.51282051282051,73.07692307692308
72.91666666666667,70.83333333333333,68.75,68.75,66.66666666666667,70.83333333333333,69.79166666666667,70.83333333333333,66.66666666666667,70.83333333333333,72.91666666666667,76.04166666666667
78.70370370370371,78.70370370370371,75.92592592592592,75.92592592592592,77.77777777777777,78.70370370370371,73.14814814814815,73.14814814814815,75.0,79.62962962962963,79.62962962962963,79.62962962962963
56.25,47.5,55.0,60.0,60.0,58.75,61.25,61.25,62.5,61.25,61.25,68.75
66.23376623376623,66.23376623376623,57.142857142857146,59.74025974025974,58.44155844155844,59.74025974025974,59.74025974025974,61.03896103896104,66.23376623376623,66.23376623376623,66.23376623376623,68.83116883116882
69.31818181818181,71.5909090909091,61.36363636363637,69.31818181818181,75.0,75.0,68.18181818181819,71.5909090909091,71.5909090909091,75.0,76.13636363636364,72.72727272727273
67.70833333333333,69.79166666666667,66.66666666666667,75.0,68.75,68.75,66.66666666666667,77.08333333333333,78.125,82.29166666666667,73.95833333333333,68.75
61.25,61.25,60.0,62.5,61.25,57.5,61.25,72.5,65.0,67.5,63.75,72.5
60.869565217391305,65.21739130434783,57.608695652173914,58.69565217391305,64.1304347826087,66.30434782608695,69.56521739130434,69.56521739130434,69.56521739130434,71.73913043478261,69.56521739130434,72.82608695652173
73.17073170731707,73.17073170731707,59.75609756097561,59.75609756097561,65.85365853658537,68.29268292682927,65.85365853658537,80.48780487804878,75.60975609756098,75.60975609756098,74.39024390243902,75.60975609756098
68.23529411764706,68.23529411764706,63.529411764705884,71.76470588235294,68.23529411764706,68.23529411764706,74.11764705882354,74.11764705882354,77.6470588235294,77.6470588235294,77.6470588235294,82.3529411764706
61.53846153846154,61.53846153846154,65.38461538461539,62.82051282051282,64.1025641025641,67.94871794871794,61.53846153846154,62.82051282051282,69.23076923076923,69.23076923076923,69.23076923076923,70.51282051282051
72.81553398058253,72.81553398058253,66.01941747572816,72.81553398058253,74.75728155339806,74.75728155339806,70.87378640776699,72.81553398058253,75.72815533980582,79.6116504854369,78.64077669902913,78.64077669902913
63.73626373626374,63.73626373626374,59.34065934065934,67.03296703296704,67.03296703296704,72.52747252747253,80.21978021978022,84.61538461538461,72.52747252747253,74.72527472527473,83.51648351648352,83.51648351648352
55.294117647058826,71.76470588235294,55.294117647058826,58.8235294117647,60.0,60.0,62.35294117647059,62.35294117647059,60.0,75.29411764705883,77.6470588235294,77.6470588235294
55.42168674698795,55.42168674698795,69.87951807228916,60.24096385542169,56.626506024096386,60.24096385542169,62.65060240963855,62.65060240963855,68.67469879518072,69.87951807228916,75.90361445783132,75.90361445783132
68.6046511627907,65.11627906976744,58.13953488372093,63.95348837209303,72.09302325581395,72.09302325581395,74.4186046511628,76.74418604651163,68.6046511627907,74.4186046511628,74.4186046511628,74.4186046511628
55.38461538461539,55.38461538461539,66.15384615384616,72.3076923076923,66.15384615384616,73.84615384615384,73.84615384615384,70.76923076923077,72.3076923076923,73.84615384615384,73.84615384615384,76.92307692307692
59.523809523809526,59.523809523809526,67.85714285714286,67.85714285714286,71.42857142857143,71.42857142857143,67.85714285714286,72.61904761904762,77.38095238095238,79.76190476190476,77.38095238095238,79.76190476190476
48.68421052631579,47.36842105263158,60.526315789473685,63.1578947368421,60.526315789473685,60.526315789473685,69.73684210526316,72.36842105263158,73.6842105263158,68.42105263157895,72.36842105263158,68.42105263157895
65.0,66.25,65.0,66.25,66.25,72.5,68.75,75.0,81.25,82.5,77.5,86.25
68.68686868686869,69.6969696969697,54.54545454545455,58.58585858585859,62.62626262626262,65.65656565656566,75.75757575757575,77.77777777777777,81.81818181818181,82.82828282828282,83.83838383838383,84.84848484848484
69.79166666666667,69.79166666666667,63.541666666666664,71.875,76.04166666666667,75.0,75.0,82.29166666666667,75.0,76.04166666666667,83.33333333333333,84.375
63.366336633663366,66.33663366336634,75.24752475247524,78.21782178217822,76.23762376237623,80.1980198019802,85.14851485148515,80.1980198019802,75.24752475247524,82.17821782178218,83.16831683168317,76.23762376237623
71.26436781609195,71.26436781609195,59.770114942528735,66.66666666666667,72.41379310344827,72.41379310344827,63.2183908045977,77.01149425287356,64.36781609195403,72.41379310344827,72.41379310344827,73.5632183908046
70.66666666666667,69.33333333333333,64.0,65.33333333333333,61.333333333333336,62.666666666666664,64.0,68.0,73.33333333333333,70.66666666666667,78.66666666666667,84.0
72.82608695652173,57.608695652173914,72.82608695652173,81.52173913043478,79.34782608695652,77.17391304347827,77.17391304347827,76.08695652173913,75.0,76.08695652173913,78.26086956521739,80.43478260869566
53.521126760563384,53.521126760563384,66.19718309859155,71.83098591549296,70.4225352112676,66.19718309859155,73.2394366197183,74.64788732394366,74.64788732394366,74.64788732394366,69.01408450704226,73.2394366197183
50.72463768115942,47.82608695652174,56.52173913043478,56.52173913043478,50.72463768115942,47.82608695652174,53.6231884057971,53.6231884057971,65.21739130434783,59.42028985507246,65.21739130434783,65.21739130434783
46.875,42.1875,39.0625,51.5625,53.125,60.9375,64.0625,64.0625,64.0625,64.0625,59.375,70.3125
67.07317073170732,65.85365853658537,62.19512195121951,68.29268292682927,67.07317073170732,70.73170731707317,75.60975609756098,75.60975609756098,73.17073170731707,76.82926829268293,73.17073170731707,70.73170731707317
64.83516483516483,64.83516483516483,62.637362637362635,70.32967032967034,63.73626373626374,67.03296703296704,64.83516483516483,72.52747252747253,69.23076923076923,75.82417582417582,75.82417582417582,73.62637362637362
55.12820512820513,55.12820512820513,62.82051282051282,64.1025641025641,73.07692307692308,71.7948717948718,74.35897435897436,84.61538461538461,84.61538461538461,84.61538461538461,84.61538461538461,85.8974358974359
70.65217391304348,70.65217391304348,78.26086956521739,78.26086956521739,78.26086956521739,78.26086956521739,82.6086956521739,82.6086956521739,76.08695652173913,76.08695652173913,81.52173913043478,81.52173913043478
68.08510638297872,68.08510638297872,58.51063829787234,61.702127659574465,58.51063829787234,63.829787234042556,67.02127659574468,75.53191489361703,71.27659574468085,78.72340425531915,78.72340425531915,80.85106382978724
66.27906976744185,68.6046511627907,60.46511627906977,65.11627906976744,60.46511627906977,72.09302325581395,69.76744186046511,68.6046511627907,73.25581395348837,63.95348837209303,73.25581395348837,81.3953488372093
72.72727272727273,71.5909090909091,67.04545454545455,63.63636363636363,63.63636363636363,67.04545454545455,68.18181818181819,65.9090909090909,67.04545454545455,70.45454545454545,69.31818181818181,77.27272727272727
73.49397590361446,55.42168674698795,45.78313253012048,49.397590361445786,49.397590361445786,51.80722891566265,61.44578313253012,71.08433734939759,73.49397590361446,73.49397590361446,74.6987951807229,80.72289156626506
61.44578313253012,57.83132530120482,67.46987951807229,66.26506024096386,63.855421686746986,65.06024096385542,61.44578313253012,63.855421686746986,69.87951807228916,71.08433734939759,71.08433734939759,78.3132530120482
59.78260869565217,67.3913043478261,47.82608695652174,52.17391304347826,55.43478260869565,65.21739130434783,70.65217391304348,72.82608695652173,64.1304347826087,66.30434782608695,78.26086956521739,79.34782608695652
61.1764705882353,61.1764705882353,62.35294117647059,76.47058823529412,74.11764705882354,75.29411764705883,70.58823529411765,80.0,74.11764705882354,71.76470588235294,75.29411764705883,75.29411764705883
58.888888888888886,60.0,46.666666666666664,65.55555555555556,65.55555555555556,67.77777777777777,66.66666666666667,67.77777777777777,66.66666666666667,70.0,78.88888888888889,73.33333333333333
79.71014492753623,79.71014492753623,56.52173913043478,59.42028985507246,69.56521739130434,69.56521739130434,72.46376811594203,79.71014492753623,75.3623188405797,69.56521739130434,65.21739130434783,78.26086956521739
65.21739130434783,66.30434782608695,58.69565217391305,60.869565217391305,70.65217391304348,61.95652173913044,71.73913043478261,69.56521739130434,72.82608695652173,75.0,75.0,76.08695652173913
57.608695652173914,57.608695652173914,55.43478260869565,57.608695652173914,59.78260869565217,61.95652173913044,70.65217391304348,70.65217391304348,64.1304347826087,75.0,75.0,76.08695652173913
65.47619047619048,65.47619047619048,65.47619047619048,69.04761904761905,63.095238095238095,54.76190476190476,58.333333333333336,66.66666666666667,59.523809523809526,67.85714285714286,63.095238095238095,72.61904761904762
68.81720430107526,72.04301075268818,69.89247311827957,70.96774193548387,70.96774193548387,73.11827956989248,66.66666666666667,77.41935483870968,79.56989247311827,79.56989247311827,77.41935483870968,79.56989247311827
83.50515463917526,83.50515463917526,67.01030927835052,72.16494845360825,67.01030927835052,68.04123711340206,69.0721649484536,72.16494845360825,75.25773195876289,78.35051546391753,80.41237113402062,86.5979381443299
