n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal,avg_tot_time_bar,avg_tot_time_med,avg_tot_time_sif,avg_tot_time_opt,avg_tot_time
8,8,20,7.0,64,0.1,0.109375,7.55,1.8,1.8,1.8,1.8,2.1076202392578126e-05,1.5330314636230468e-05,0.0017915606498718263,1.1556536316871644,1.157481598854065
8,8,20,13.0,64,0.2,0.203125,29.5,14.4,14.65,14.15,14.15,2.3794174194335937e-05,1.862049102783203e-05,0.0028164029121398927,1.751600182056427,1.7544589996337892
8,8,20,20.0,64,0.3,0.3125,68.7,42.2,42.7,41.75,41.75,0.00022846460342407227,2.181529998779297e-05,0.004120659828186035,2.5680260181427004,2.572396957874298
8,8,20,26.0,64,0.4,0.40625,131.2,85.15,86.25,84.1,83.95,2.796649932861328e-05,2.440214157104492e-05,0.005437612533569336,3.3341427087783813,3.3396326899528503
8,8,20,32.0,64,0.5,0.5,191.35,141.95,144.55,141.2,141.2,2.987384796142578e-05,2.6619434356689454e-05,0.0068666934967041016,4.122681069374084,4.129604256153106
8,8,20,39.0,64,0.6,0.609375,283.05,216.85,220.25,216.65,216.25,3.237724304199219e-05,2.7561187744140624e-05,0.008178400993347167,5.069805824756623,5.078044164180755
8,8,20,45.0,64,0.7,0.703125,388.05,319.35,326.8,319.3,319.15,0.00023441314697265626,2.8336048126220702e-05,0.009547185897827149,5.781029295921326,5.790839231014251
8,8,20,52.0,64,0.8,0.8125,513.05,447.8,454.0,447.85,447.65,3.321170806884766e-05,2.9528141021728514e-05,0.010990417003631592,6.6107290387153625,6.621782195568085
8,8,20,58.0,64,0.9,0.90625,646.5,587.7,592.35,587.65,587.65,3.360509872436523e-05,3.0303001403808592e-05,0.011806845664978027,7.209300744533539,7.221171498298645
