n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal,avg_tot_time_bar,avg_tot_time_med,avg_tot_time_sif,avg_tot_time_opt,avg_tot_time
8,6,20,5.0,48,0.1,0.1041666666666667,3.35,0.9,0.85,0.85,0.85,1.6570091247558594e-05,1.2600421905517578e-05,0.0006950259208679199,0.01430429220199585,0.015028488636016846
8,6,20,10.0,48,0.2,0.2083333333333334,16.4,6.1,6.05,6.0,6.0,1.882314682006836e-05,1.5115737915039062e-05,0.0010596156120300294,0.02107536792755127,0.022168922424316406
8,6,20,15.0,48,0.3,0.3125,40.3,22.8,23.35,22.5,22.5,2.1064281463623046e-05,1.710653305053711e-05,0.001465749740600586,0.028946471214294434,0.03045039176940918
8,6,20,20.0,48,0.4,0.4166666666666668,71.25,47.5,48.9,47.45,47.4,2.2339820861816407e-05,1.9025802612304687e-05,0.0019422292709350586,0.03741873502731323,0.039402329921722413
8,6,20,24.0,48,0.5,0.5,104.95,72.3,73.45,72.45,72.3,2.3818016052246095e-05,2.0503997802734375e-05,0.00234144926071167,0.04452656507492066,0.046912336349487306
8,6,20,29.0,48,0.6,0.6041666666666665,149.2,120.95,122.65,120.55,120.5,2.6464462280273438e-05,2.3150444030761717e-05,0.0027588605880737305,0.05298502445220947,0.05579349994659424
8,6,20,34.0,48,0.7,0.7083333333333335,204.5,167.95,170.55,167.6,167.6,2.4867057800292968e-05,2.1958351135253905e-05,0.003185093402862549,0.06054033041000366,0.06377224922180176
8,6,20,39.0,48,0.8,0.8125,274.7,238.8,242.45,238.9,238.8,2.586841583251953e-05,2.3055076599121094e-05,0.0035920143127441406,0.06791765689849853,0.07155859470367432
8,6,20,44.0,48,0.9,0.9166666666666666,347.3,327.5,329.55,327.5,327.5,2.5987625122070312e-05,2.3794174194335937e-05,0.0038655877113342287,0.07513834238052368,0.07905371189117431
