n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal,avg_tot_time_bar,avg_tot_time_med,avg_tot_time_sif,avg_tot_time_opt,avg_tot_time
8,4,20,4.0,32,0.1,0.125,2.0,0.6,0.55,0.55,0.55,1.3566017150878906e-05,1.175403594970703e-05,0.0002391338348388672,0.0003608107566833496,0.0006252646446228028
8,4,20,7.0,32,0.2,0.21875,7.4,3.4,3.25,3.25,3.25,1.4901161193847656e-05,1.1897087097167968e-05,0.00031000375747680664,0.0004613757133483887,0.000798177719116211
8,4,20,10.0,32,0.3,0.3125,15.1,9.0,9.1,8.95,8.95,1.531839370727539e-05,1.2850761413574218e-05,0.0004281044006347656,0.0005641698837280274,0.0010204434394836426
8,4,20,13.0,32,0.4,0.40625,30.4,16.0,16.5,15.95,15.95,1.6510486602783203e-05,1.4281272888183593e-05,0.0004929780960083007,0.0006890654563903809,0.0012128353118896484
8,4,20,16.0,32,0.5,0.5,40.65,29.6,30.0,29.4,29.4,1.901388168334961e-05,1.6057491302490233e-05,0.0006007909774780274,0.0008435249328613281,0.0014793872833251953
8,4,20,20.0,32,0.6,0.625,62.65,52.8,53.9,52.8,52.8,2.0933151245117187e-05,1.6534328460693358e-05,0.0006785988807678223,0.0009627819061279296,0.0016788482666015626
8,4,20,23.0,32,0.7,0.71875,83.75,70.05,70.7,69.95,69.95,2.2089481353759767e-05,1.6307830810546876e-05,0.0007212996482849121,0.0010329246520996093,0.0017926216125488282
8,4,20,26.0,32,0.8,0.8125,110.0,96.1,98.1,96.1,96.1,2.042055130004883e-05,1.697540283203125e-05,0.0008114695549011231,0.0011347651481628418,0.001983630657196045
8,4,20,29.0,32,0.9,0.90625,137.5,127.9,129.4,127.9,127.9,1.9931793212890624e-05,1.7452239990234376e-05,0.0008583903312683105,0.001218104362487793,0.0021138787269592285
