n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
6,3,10,2.0,18,0.1,0.11111111111111113,0.3,0.0,0.0,0.0,0.0
6,3,10,4.0,18,0.2,0.22222222222222227,1.2,0.3,0.3,0.3,0.3
6,3,10,6.0,18,0.3,0.33333333333333337,5.3,1.5,1.6,1.5,1.5
6,3,10,8.0,18,0.4,0.44444444444444453,9.1,4.4,4.3,4.3,4.3
6,3,10,9.0,18,0.5,0.5,11.1,6.7,6.7,6.7,6.7
6,3,10,11.0,18,0.6,0.611111111111111,15.4,10.9,10.9,10.9,10.9
6,3,10,13.0,18,0.7,0.7222222222222222,21.9,18.1,18.8,18.1,18.1
6,3,10,15.0,18,0.8,0.8333333333333333,30.2,25.2,25.5,25.2,25.2
6,3,10,17.0,18,0.9,0.9444444444444444,39.3,37.2,37.2,37.2,37.2
