n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
10,8,10,8.0,80,0.1,0.09999999999999999,13.0,4.5,4.2,4.2,4.2
10,8,10,16.0,80,0.2,0.19999999999999998,49.2,27.0,27.9,26.8,26.8
10,8,10,24.0,80,0.3,0.29999999999999993,109.1,65.8,67.6,65.3,65.1
10,8,10,32.0,80,0.4,0.39999999999999997,202.1,135.7,138.7,135.3,134.8
10,8,10,40.0,80,0.5,0.5,305.7,244.9,248.9,243.6,243.6
10,8,10,48.0,80,0.6,0.5999999999999999,447.7,370.5,376.4,370.4,370.0
10,8,10,56.0,80,0.7,0.7000000000000001,592.8,525.2,530.7,524.6,524.6
10,8,10,64.0,80,0.8,0.7999999999999999,798.5,713.2,721.7,712.8,712.8
10,8,10,72.0,80,0.9,0.9000000000000001,1018.4,948.8,954.6,949.1,948.8
