n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
8,6,10,5.0,48,0.1,0.10416666666666666,3.1,1.2,1.2,1.2,1.2
8,6,10,10.0,48,0.2,0.20833333333333331,14.0,5.3,5.5,5.2,5.2
8,6,10,15.0,48,0.3,0.3125,39.7,21.4,21.8,21.2,21.2
8,6,10,20.0,48,0.4,0.41666666666666663,71.1,49.2,48.0,47.5,47.5
8,6,10,24.0,48,0.5,0.5,109.3,74.3,76.2,73.8,73.7
8,6,10,29.0,48,0.6,0.6041666666666667,149.6,114.2,116.8,114.3,114.2
8,6,10,34.0,48,0.7,0.7083333333333333,209.9,171.9,177.9,171.8,171.8
8,6,10,39.0,48,0.8,0.8125,279.6,235.6,238.0,235.5,235.5
8,6,10,44.0,48,0.9,0.9166666666666666,351.1,325.3,327.9,325.3,325.3
